LEVY, Geneviève - 2017-07-27-12:07:17 >> activProfConjointDto >> activiteProf,Avocat 
        [Données non publiées]
de Redon, Louis - 2018-01-29-17:16:40 >> activConsultantDto >> commentaire,Parallèlement à mon activité de maître de conférences en droit j'ai développé une petite activité d'avocat (notamment de conseil en environnement) sous autorisation de cumul. Le cabinet a été créé à ma prestation de serment en mars 2015 et l'activité est encore déficitaire à ce jour (pas de rachat de clientèle). Des honoraires ont donc bien été perçus mais le résultat est négatif pour les 2 premiers exercices (2015 et 2016). Le calcul du résultat 2017 n'est pas encore arrêté (il le sera au 31 décembre) mais sera vraisemblablement encore négatif. L'activité de conseil et l'activité contentieuse continuent durant le mandat.
Grelier, Jean Carles - 2017-08-08-10:22:01 >> activProfCinqDerniereDto >> item >> description,Avocat
Degois, Typhanie - 2019-03-24-12:25:16 >> activProfCinqDerniereDto >> item >> employeur,Cabinet Christel Boissel Avocat
Hennion, Christine - 2019-12-31-16:30:02 >> activProfCinqDerniereDto >> item >> employeur,Pelletier-avocat
BLANC, Etienne - 2019-01-24-17:58:30 >> activProfCinqDerniereDto >> description,AVOCAT
Gauvain, Raphael - 2017-08-05-11:36:29 >> activProfCinqDerniereDto >> commentaire,J'ai demandé mon omission du Barreau de Paris à compter du 1er aout 2017. Je n'exercerai donc pas la profession d'avocat pendant mon mandat parlementaire. Les comptes du cabinet sont en cours de finalisation. Je serai donc en mesure de déclarer mes revenus 2017 définitif au titre de cette activité à la fin de l'année.
THOUROT, Alice - 2019-02-04-11:27:21 >> participationDirigeantDto >> item >> commentaire,La AARPI était constituée de la SELARL CABINET CHAMPAUZAC et de la SAS D'AVOCAT THOUROT. Sa dissolution a été actée entre juin et juillet 2017(AG + Ordre des Avocats).
THOUROT, Alice - 2017-08-18-09:02:12 >> activProfCinqDerniereDto >> item >> description,AVOCAT
Talamoni, Jean-Guy - 2018-03-01-17:01:17 >> activProfCinqDerniereDto >> item >> description,Avocat
ANTHOINE, Emmanuelle - 2018-01-23-10:35:04 >> activProfCinqDerniereDto >> description,avocate
MOREL A L'HUISSIER, PIERRE - 2019-10-29-16:38:34 >> activProfCinqDerniereDto >> description,AVOCAT
Bachelier, Florian - 2017-08-11-18:24:06 >> fonctionBenevoleDto >> item >> nomStructure,Advoc association uk - réseau de cabinets d'avocats
THOUROT, Alice - 2017-11-30-13:14:22 >> participationFinanciereDto >> commentaire,Il s'agit de ma SAS d'AVOCAT (à rattacher à mon activité professionnelle)
GOMEZ-BASSAC, Valerie - 2018-07-12-19:07:40 >> activConsultantDto >> item >> description,Avocate associée gérante
ZIDATE, Sonia - 2017-10-04-15:52:44 >> activProfCinqDerniereDto >> description,AVOCAT A TITRE LIBERAL
LIPSOS-SALLENAVE, VERONIQUE - 2018-01-31-22:57:07 >> activProfCinqDerniereDto >> description,AVOCAT
HIDRI, FATEN - 2017-12-18-18:45:21 >> activProfCinqDerniereDto >> description,avocat
THOUROT, Alice - 2019-02-04-11:27:21 >> participationDirigeantDto >> item >> activite,AVOCATS
gilbert, collard - 2019-10-08-10:23:54 >> participationDirigeantDto >> activite,SOCIETE D'AVOCATS
GOMEZ-BASSAC, Valerie - 2020-08-27-12:45:55 >> participationFinanciereDto >> item >> remuneration,27850 EN 2016 EN TANT QU'AVOCATE ASSOCIE GERANTE
MAZARS, stéphane - 2017-10-30-15:19:22 >> participationFinanciereDto >> item >> nomSociete,scp d'avocats
Gauvain, Raphael - 2017-12-11-14:27:57 >> activProfCinqDerniereDto >> description,Avocat associé chez Boken
Didier, Geoffroy - 2018-02-23-20:21:20 >> activProfCinqDerniereDto >> item >> description,avocat
Thieriot, jean Louis - 2018-09-18-15:20:27 >> activProfCinqDerniereDto >> item >> employeur,Suchet avocats
Ferrand, Richard - 2017-08-05-00:41:07 >> activProfConjointDto >> activiteProf,AVOCATE
THOUROT, Alice - 2017-08-18-09:02:12 >> participationDirigeantDto >> item >> nomSociete,SAS D'AVOCAT THOUROT
MIRALLES, PATRICIA - 2017-10-30-17:07:11 >> activCollaborateursDto >> Courageux Vincent >> descriptionActivite,Avocat
FUGIT, Jean-Luc - 2017-07-12-11:04:59 >> activCollaborateursDto >> Lougraida-DUMAS Myriam >> commentaire,Se conforme à l'article 122-1 du Décret n°91-1197 du 27 novembre 1991 organisant la profession d'avocat.
longuet, gerard - 2017-11-27-23:52:01 >> activProfConjointDto >> activiteProf,avocat
CORBIERE, Alexis - 2017-08-07-16:12:21 >> activProfConjointDto >> activiteProf,Avocat
gilbert, collard - 2019-10-08-10:23:54 >> activProfCinqDerniereDto >> description,AVOCAT
de Redon, Louis - 2017-09-26-16:50:29 >> activConsultantDto >> commentaire,Parallèlement à mon activité de maître de conférences en droit j'ai développé une petite activité d'avocat (notamment de conseil en environnement) sous autorisation de cumul. Le cabinet a été créé à ma prestation de serment en mars 2015 et l'activité est encore déficitaire à ce jour (pas de rachat de clientèle). Des honoraires ont donc bien été perçus mais le résultat est négatif pour les 2 premiers exercices (2015 et 2016). Le calcul du résultat 2017 n'est pas encore arrêté (il le sera au 31 décembre) mais sera vraisemblablement encore négatif. L'activité de conseil et l'activité contentieuse continuent durant le mandat.
